Period,Y,C,I,L,K,T_total_revenue,Tc,Tl,Tf
0,0.3615295157067084,0.2657014239296323,0.01899598333617975,0.27970151881171357,0.7490033339845412,0.26239291098852463,0.026570142392963233,0.19239139201003078,0.017745108324198806
1,0.3613229274120188,0.26547367985197834,0.01898241477665391,0.27960162541213796,0.7490033339845412,0.26224297218224546,0.026554959454452968,0.19228145407173933,0.017734968262299262
2,0.36094073906684315,0.2650523533083185,0.0189573129415311,0.27941682262292306,0.7490033339845412,0.26196558539062903,0.026526871018208976,0.19207806888590012,0.017716209147785107
3,0.3604092906787543,0.2644664816685537,0.01892240782215087,0.2791598468525148,0.7490033339845412,0.2615798678114759,0.026487812908891323,0.1917952535396454,0.017690123838548538
4,0.35975097125418926,0.26374074669709957,0.018879169911151832,0.2788415240480922,0.7490033339845412,0.2611020690629166,0.02643943057746105,0.19144492255703743,0.01765781126379791
5,0.3590504561704338,0.2629684949977847,0.01883316062186964,0.2785027980168062,0.7490033339845412,0.26059364531317475,0.026387947130840056,0.19107213675053342,0.0176234275814043
6,0.35884386787574424,0.2627407509201307,0.018819592062343796,0.2784029046172306,0.7490033339845412,0.2604437065068956,0.02637276419232979,0.19096219881224197,0.017613287519504757
7,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
8,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
9,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
10,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
11,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
12,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
13,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
14,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
15,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
16,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
17,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
18,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
19,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
20,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
21,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
22,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
23,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
24,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
25,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
26,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
