Period,Y,C,I,L,K,T_total_revenue,Tc,Tl,Tf
0,0.3615295157067084,0.2657014239296323,0.01899598333617975,0.27970151881171357,0.7490033339845412,0.26239291098852463,0.026570142392963233,0.19239139201003078,0.017745108324198806
1,0.3614138262616822,0.26557388724614606,0.01898838494284528,0.27964557850795124,0.7490033339845412,0.2623089452570083,0.026561639947397485,0.19232982676458757,0.01773942988953506
2,0.36131549023341,0.2654654810651828,0.01898192630851098,0.27959802924975324,0.7490033339845412,0.2622375743852194,0.026554412868666593,0.1922774963059608,0.017734603220070876
3,0.3612319046093786,0.265373335811364,0.018976436469326823,0.2795576123802849,0.7490033339845412,0.2621769091441989,0.026548269851745344,0.1922330154161281,0.017730500551026325
4,0.36116085682895194,0.26529501234561803,0.01897177010602029,0.2795232580412369,0.7490033339845412,0.26212534368933144,0.026543048287362283,0.19219520665977033,0.017727013282338454
5,0.3611004662155893,0.26522843739973395,0.018967803697209736,0.27949405685304607,0.7490033339845412,0.2620815130526941,0.02653860995763668,0.19216306921686618,0.017724049103953764
6,0.36104913419423096,0.26517184869573246,0.018964432249720768,0.2794692358430838,0.7490033339845412,0.2620442570115523,0.026534837377369908,0.19213575239039765,0.017721529552326774
7,0.36100550197607645,0.2651237482973312,0.018961566519355145,0.279448137984616,0.7490033339845412,0.26201258937658184,0.02653163068414316,0.1921125330878994,0.017719387933443836
8,0.3609684145906451,0.26508286295869016,0.018959130648544365,0.27943020480491826,0.7490033339845412,0.26198567188685695,0.026528904994900425,0.19209279668077592,0.01771756755739334
9,0.36093689031302845,0.26504811042084525,0.0189570601583552,0.2794149616021752,0.7490033339845412,0.26196279202059075,0.026526588159044098,0.19207602073472094,0.017716020237750416
10,0.3609100946770543,0.2650185707636771,0.01895530024169441,0.2794020048798436,0.7490033339845412,0.2619433441342645,0.02652461884856622,0.1920617611805742,0.01771470501605393
11,0.36088731838647625,0.2649934620550841,0.01895380431253274,0.2793909916658618,0.7490033339845412,0.2619268134308872,0.026522944934660023,0.19204964055954948,0.017713587077611916
12,0.36086795853948495,0.26497211965278017,0.01895253277274532,0.2793816304339772,0.7490033339845412,0.26191276233301647,0.026521522107839757,0.19203933803167847,0.017712636829936207
13,0.3608515026695423,0.26495397861082176,0.018951451963926013,0.2793736733868753,0.7490033339845412,0.2619008188998264,0.026520312705042532,0.1920305808829881,0.017711829119411854
14,0.36083751518009105,0.2649385587251571,0.018950533276429603,0.2793669098968387,0.7490033339845412,0.2618906669816148,0.026519284712664886,0.19202313730660128,0.017711142565466152
15,0.3608256258140575,0.2649254518223422,0.01894975239205765,0.2793611609303076,0.7490033339845412,0.26188203785113495,0.02651841091914389,0.1920168102666725,0.017710558994612307
16,0.360815519852929,0.26491431095494944,0.018949088640341494,0.27935627430875615,0.7490033339845412,0.26187470309022703,0.026517668194651043,0.19201143228273304,0.017710062959386538
