,Variable,Baseline,Reform,Absolute Change,Percentage Change
0,Y,0.3615295157067084,0.36008339764388153,-0.001446118062826851,-0.40000000000000036
1,C,0.2657014239296323,0.26437291680998415,-0.001328507119648159,-0.5000000000000004
2,I,0.01899598333617975,0.018910501411166944,-8.548192501280777e-05,-0.44999999999999485
3,L,0.27970151881171357,0.2790022650146843,-0.0006992537970292867,-0.2500000000000058
4,G,0.07617831089648261,0.07617831089648261,0.0,0.0
5,T_total_revenue,0.26239291098852463,0.26134333934457055,-0.0010495716439540836,-0.39999999999998925
6,B,,,,
7,w,0.8598067004935658,0.8598067004935658,0.0,0.0
8,Rk_gross,0.13717572190065552,0.13717572190065552,0.0,0.0
9,pi_gross,1.036601277950844,1.036601277950844,0.0,0.0
