,Variable,Baseline,Reform,Absolute Change,Percentage Change
0,Y,0.3615295157067084,0.33761547788443,-0.023914037822278356,-6.614684772149748
1,C,0.2657014239296323,0.26331840338073603,-0.0023830205488962752,-0.8968791034885015
2,I,0.01899598333617975,0.01899598333617975,0.0,0.0
3,L,0.27970151881171357,0.2776372058701536,-0.0020643129415599537,-0.7380413772259842
4,G,0.07617831089648261,0.07621176795715423,3.345706067162113e-05,0.04391940472017186
5,T_total_revenue,0.26239291098852463,0.2667124112071473,0.004319500218622652,1.646195471649592
6,B,,,,
7,w,0.8598067004935658,0.8640633774412843,0.004256676947718474,0.49507371194885685
8,Rk_gross,0.13717572190065552,0.13717572190065552,0.0,0.0
9,pi_gross,1.036601277950844,1.0340141771717257,-0.0025871007791182787,-0.24957530288139962
